,CIC0,SM1_Dz(Z),GATS1i,NdsCH,NdssC,MLOGP,LC50 [-LOG(mol/L)]
115,2.024,0.977,1.328,0.0,0,2.604,5.052
116,2.609,0.604,1.529,0.0,0,2.419,3.572
117,2.878,0.134,1.684,0.0,0,0.8,2.436
119,2.665,0.251,1.762,0.0,0,-0.534,1.795
121,2.377,0.331,2.111,0.0,0,-0.534,2.156
122,2.366,0.405,2.606,0.0,0,-0.128,1.037
123,2.878,0.134,2.102,0.0,0,0.8,1.932
124,1.961,0.134,1.27,0.0,0,0.156,2.505
125,2.462,0.223,1.669,0.0,0,0.408,1.524
126,1.778,0.223,1.203,0.0,0,0.156,3.048
127,3.609,0.811,1.189,0.0,0,3.291,5.115
128,3.316,0.223,1.571,0.0,1,1.795,2.856
130,4.171,0.693,1.678,0.0,2,2.849,4.976
131,3.316,0.223,1.571,0.0,1,1.795,2.94
132,3.441,0.3162,1.667,0.0,0,3.516,4.538
133,2.429,0.83,1.696,0.0,0,2.604,3.391
134,3.143,0.134,1.641,0.0,0,1.209,2.692
135,2.802,0.223,1.6,1.0,0,1.064,3.825
136,2.126,0.405,1.127,0.0,0,-0.226,3.206
137,2.709,0.331,2.072,0.0,0,-0.081,1.78
138,2.701,0.405,2.003,0.0,0,-0.081,0.533
139,3.252,0.4202,1.417,0.0,0,3.124,3.299
140,2.111,0.134,1.253,0.0,0,0.468,2.914
141,2.085,0.56,2.451,0.0,0,-0.544,1.18
143,3.52,0.223,1.562,0.0,1,2.129,3.446
144,3.014,0.56,1.987,0.0,1,0.538,3.496
145,3.181,0.604,1.52,0.0,0,3.126,4.68
146,3.369,0.134,1.614,0.0,0,1.587,3.252
147,3.277,0.223,1.633,0.0,0,1.587,2.98
149,3.277,0.486,1.416,0.0,0,2.604,5.47
150,2.67,0.496,2.047,0.0,0,-0.917,1.842
151,2.704,0.56,1.965,0.0,0,-0.917,0.15
152,3.277,0.486,1.343,0.0,0,2.604,3.736
153,3.566,0.134,1.595,0.0,0,1.94,3.719
154,2.594,0.251,1.287,0.0,0,0.454,1.749
155,3.485,0.223,1.614,0.0,0,1.94,3.507
156,3.316,0.223,1.571,1.0,0,1.795,3.979
157,3.596,0.604,1.515,0.0,0,4.673,5.363
158,3.74,0.134,1.581,0.0,0,3.186,4.396
159,3.669,0.223,1.599,0.0,0,3.186,3.984
160,3.199,0.56,2.033,0.0,0,-0.129,1.02
161,2.57,1.028,2.137,0.0,0,1.466,2.973
162,3.641,0.405,1.531,0.0,1,3.289,3.182
163,4.005,0.223,1.545,0.0,1,3.953,5.055
164,3.896,0.134,1.571,0.0,0,3.503,4.822
165,3.201,0.693,2.004,0.0,0,-0.937,0.33
166,3.98,0.223,1.578,0.0,0,3.806,4.819
167,4.114,0.223,1.571,0.0,0,4.098,5.219
168,4.237,0.223,1.565,0.0,0,4.379,5.268
170,2.456,0.331,1.259,0.0,1,0.496,2.858
171,2.536,0.764,1.165,0.0,1,2.619,4.191
172,3.461,0.223,1.281,0.0,0,2.813,4.416
173,2.641,0.496,1.077,0.0,1,1.697,3.537
174,3.38,0.638,1.506,0.0,1,1.57,4.38
175,2.544,0.223,1.245,0.0,0,1.064,1.408
176,1.279,1.16,1.714,0.0,0,1.209,2.936
178,3.222,1.501,0.872,0.0,0,5.149,5.861
179,3.728,0.956,1.17,0.0,0,4.789,5.574
183,3.311,0.56,0.927,0.0,1,3.461,5.276
184,3.023,0.56,1.168,0.0,1,2.294,3.924
185,2.585,1.586,0.917,0.0,0,5.207,6.379
186,1.925,1.318,0.595,0.0,0,3.764,4.705
187,2.454,1.075,0.951,0.0,0,2.359,4.96
188,2.508,0.58,0.941,0.0,0,1.701,3.766
189,2.222,0.711,0.849,0.0,0,0.828,3.641
190,3.389,0.223,0.849,0.0,1,3.587,4.108
191,2.031,0.891,0.822,0.0,0,2.956,4.42
192,1.965,1.408,0.709,0.0,0,2.736,5.29
193,3.351,0.496,1.466,0.0,0,1.097,2.392
194,3.452,0.331,1.476,1.0,0,2.402,3.87
195,4.288,0.865,1.327,0.0,0,4.295,5.642
196,2.359,0.405,0.814,0.0,0,0.893,4.287
197,2.085,1.079,0.895,0.0,0,4.063,4.79
198,1.962,0.934,0.819,0.0,0,2.729,4.296
199,3.041,0.947,1.298,0.0,1,1.976,6.607
200,2.377,0.827,0.938,0.0,0,2.239,3.759
201,3.023,0.56,1.168,1.0,0,1.239,3.278
202,2.777,0.56,1.127,1.0,0,0.922,3.118
203,2.218,0.923,1.074,0.0,0,0.291,3.237
204,3.103,0.134,1.521,0.0,0,2.193,3.267
205,1.822,0.829,0.834,0.0,0,2.509,3.933
208,1.945,0.889,0.835,0.0,0,1.969,3.927
209,3.315,0.223,1.1,1.0,0,2.723,4.35
210,2.868,1.286,1.294,0.0,0,1.919,4.809
211,2.971,0.859,2.162,0.0,0,2.273,4.499
212,3.378,0.134,0.988,0.0,0,3.395,4.65
213,2.961,0.405,1.189,0.0,0,1.312,2.604
214,3.52,0.223,1.562,1.0,0,2.129,3.629
215,3.012,0.223,1.023,0.0,0,2.193,4.07
216,2.778,0.405,1.17,1.0,0,1.49,2.93
217,3.08,0.223,1.583,1.0,0,1.442,3.727
218,3.281,0.693,1.808,0.0,2,1.121,3.095
221,2.507,0.405,1.5,0.0,2,0.076,2.851
222,3.462,0.405,1.717,0.0,1,2.06,4.208
223,2.462,0.223,1.625,1.0,0,0.655,3.654
224,3.026,0.405,1.787,0.0,1,1.373,3.81
225,2.429,0.405,1.954,0.0,0,-0.473,0.931
226,2.836,0.693,1.43,0.0,2,0.434,3.178
227,4.285,0.134,1.551,0.0,0,4.379,6.255
231,2.034,0.64,1.727,0.0,0,0.8,2.586
232,2.034,0.331,1.56,0.0,1,0.133,2.117
234,2.283,1.07,1.223,0.0,0,1.112,4.278
235,3.164,0.223,0.909,0.0,0,2.455,3.112
238,4.216,0.223,1.248,0.0,0,4.177,5.78
240,3.914,0.56,1.637,0.0,1,3.048,3.926
241,3.542,1.38,1.264,0.0,0,1.971,6.284
242,3.102,0.693,1.316,0.0,2,2.005,3.451
244,3.191,0.223,0.847,0.0,0,2.859,4.967
245,2.639,1.462,0.83,0.0,0,5.206,5.985
248,3.247,0.638,0.889,0.0,1,2.922,4.68
250,3.629,0.331,1.478,0.0,1,2.821,3.24
252,3.012,0.223,0.76,0.0,0,2.637,4.62
255,2.024,0.405,1.605,0.0,1,0.133,1.307
257,3.426,0.693,1.488,0.0,1,1.294,3.025
258,2.878,0.134,1.684,0.0,0,0.8,2.425
260,3.286,0.357,2.104,0.0,0,-0.521,1.771
261,2.507,0.405,1.652,1.0,1,0.888,4.603
263,3.924,0.693,1.707,0.0,2,2.314,4.713
266,1.968,0.331,1.891,0.0,0,-1.053,1.47
267,2.429,0.405,1.927,0.0,1,0.5764,2.583
268,3.029,0.331,1.847,0.0,0,0.314,2.474
269,3.605,0.6106,1.15,0.0,0,3.562,4.51
270,2.024,0.83,1.761,0.0,0,2.226,3.007
271,3.026,0.405,1.548,0.0,1,1.373,2.84
272,3.462,0.405,1.717,0.0,1,2.06,4.557
273,3.669,0.223,1.778,0.0,0,2.274,3.604
274,2.9,1.275,0.913,0.0,1,3.574,6.564
275,3.832,0.223,1.587,0.0,0,3.503,4.41
276,4.285,0.134,1.71,0.0,0,3.467,5.38
278,3.332,0.134,1.294,0.0,0,2.242,3.374
279,2.344,0.582,1.59,0.0,0,1.467,3.109
280,3.353,0.854,1.944,0.0,0,1.297,2.451
282,2.914,0.798,0.975,0.0,1,2.715,4.109
283,3.111,0.331,1.011,0.0,1,2.042,3.25
284,2.777,0.56,1.127,1.0,0,1.433,4.767
286,3.134,0.223,1.319,0.0,0,1.795,2.739
288,3.436,0.24160000000000004,0.951,0.0,0,2.786,4.338
289,2.217,0.872,0.875,0.0,0,1.769,4.182
290,3.219,0.405,1.605,0.0,0,0.706,1.134
291,3.645,0.223,1.155,0.0,0,3.105,5.178
292,2.685,0.405,1.145,0.0,0,1.246,3.219
293,2.685,0.405,1.145,0.0,0,1.246,3.11
294,2.961,0.405,1.388,0.0,0,1.58,3.07
295,3.52,0.223,1.59,0.0,0,1.882,2.883
297,1.883,0.711,1.162,0.0,0,1.5013999999999998,2.924
298,3.432,0.638,1.385,0.0,1,1.459,5.339
299,3.369,0.134,1.614,0.0,0,1.587,2.226
300,3.323,1.232,1.134,0.0,0,4.207,6.5
301,3.73,0.829,1.562,0.0,1,3.182,4.732
303,4.141,0.134,1.22,0.0,0,4.833,6.233
304,3.035,0.223,1.941,0.0,0,1.209,2.107
305,3.461,0.223,1.12,0.0,0,2.813,4.47
309,1.634,0.713,1.19,0.0,0,1.313,2.782
310,3.13,0.429,0.88,0.0,0,2.679,5.229
311,1.886,1.153,0.523,0.0,0,2.938,4.737
312,1.886,1.115,0.653,0.0,0,2.646,4.5222
315,3.087,0.223,0.96,1.0,0,2.42,3.979
318,2.565,0.452,1.529,0.0,0,0.242,2.115
319,2.217,0.845,0.793,1.0,0,2.429,5.189
321,3.402,0.496,1.45,1.0,0,2.345,4.557
322,3.618,0.842,1.686,0.0,2,1.661,5.184
323,3.613,1.336,0.839,0.0,0,2.459,4.886
324,3.739,1.1492,1.204,0.0,1,3.374,5.434
325,2.251,1.501,1.197,0.0,0,4.19,5.632
327,2.216,0.582,1.287,0.0,0,1.467,2.74
328,3.323,1.232,1.134,0.0,0,4.207,6.525
330,1.886,0.988,0.764,0.0,0,2.343,3.889
331,3.175,0.859,2.095,0.0,0,2.59,4.095
332,3.641,1.192,1.481,0.0,1,3.16,5.052
333,2.8688,1.317,1.288,0.0,0,2.689,4.368
334,3.709,1.371,1.478,0.0,1,3.909,5.568
335,2.479,0.887,0.954,0.0,0,1.748,4.458
336,3.559,0.223,1.36,0.0,0,2.446,3.458
337,4.05,0.693,1.381,0.0,2,3.618,5.667
338,3.24,0.56,0.889,0.0,0,2.214,4.544
340,2.079,0.988,0.836,0.0,1,2.481,2.608
341,4.037,0.134,1.563,0.0,0,3.806,5.18
342,2.137,0.223,1.179,0.0,0,0.655,3.779
343,3.421,0.58,1.7,0.0,1,1.57,5.029
345,3.252,0.499,0.832,0.0,0,4.416,4.674
346,3.252,0.499,0.832,0.0,0,4.416,4.384
348,2.591,0.331,1.629,0.0,0,0.874,2.395
350,3.274,1.214,1.011,0.0,0,3.311,6.54
351,2.544,0.223,1.245,0.0,0,1.064,3.38
352,2.08,0.764,0.788,0.0,0,1.514,4.961
353,2.8,0.693,1.091,0.0,1,1.437,3.603
354,3.9,0.429,1.572,0.0,1,2.297,3.842
355,3.177,0.918,1.919,0.0,0,2.031,4.116
356,2.111,1.477,1.298,0.0,0,3.225,5.73
357,3.609,0.811,1.208,0.0,0,3.291,4.38
358,3.261,0.331,2.047,0.0,1,0.915,4.182
359,3.38,0.702,1.527,0.0,1,1.579,3.841
360,2.818,0.88,1.488,0.0,0,1.182,3.726
361,2.442,0.934,0.984,0.0,1,3.259,4.208
362,3.63,0.134,1.476,0.0,0,3.358,4.305
364,3.756,0.48179999999999995,0.964,0.0,0,4.23,4.425
365,2.198,0.798,0.79,0.0,1,2.056,3.328
366,3.159,0.965,1.584,0.0,2,1.121,3.77
368,4.121,0.829,1.551,0.0,1,3.913,5.653
369,2.309,0.907,0.871,0.0,0,3.046,3.775
370,3.69,0.223,1.062,0.0,0,2.726,3.599
371,3.282,0.56,1.749,0.0,2,1.117,3.757
373,3.252,0.223,1.077,0.0,0,2.51,4.22
374,4.085,0.134,1.482,0.0,0,4.234,5.63
375,2.726,0.496,1.108,0.0,1,1.06,3.1
376,2.079,0.988,0.836,0.0,1,2.481,3.298
377,3.867,0.134,1.174,0.0,0,3.386,4.064
378,3.33,0.56,1.555,0.0,2,1.042,3.691
379,2.304,1.028,1.124,0.0,0,2.433,4.635
380,3.691,0.711,1.073,0.0,2,1.746,5.472
381,3.323,0.405,1.17,0.0,2,2.592,4.577
382,3.501,0.405,1.585,1.0,1,2.27,5.147
383,2.594,0.251,0.861,0.0,0,1.68,3.112
384,3.38,0.874,0.903,0.0,1,3.184,5.278
385,3.4514000000000005,0.134,0.909,0.0,0,3.051,4.891
386,3.578,0.496,1.406,0.0,1,2.391,4.32
387,2.857,1.421,2.282,0.0,0,2.357,4.295
388,2.634,0.223,0.939,0.0,0,1.834,3.926
390,3.179,0.29619999999999996,0.805,0.0,0,2.994,4.154
391,3.588,0.251,1.506,0.0,0,1.564,3.57
392,3.026,0.251,2.164,0.0,0,0.314,1.812
393,3.739,0.4102,1.161,0.0,0,4.431,5.68
394,2.955,0.331,1.313,0.0,0,0.652,2.961
395,1.844,1.275,0.804,0.0,0,3.109,6.72
396,4.395,0.134,1.546,0.0,0,4.651,6.484
397,3.128,0.713,0.797,0.0,1,4.017,5.039
398,2.417,1.028,1.162,0.0,1,3.19,4.169
399,3.055,1.273,1.132,0.0,0,2.931,5.393
400,2.624,1.621,1.502,0.0,0,3.213,6.314
401,3.436,1.225,1.839,0.0,0,2.054,5.087
402,2.423,0.949,1.15,0.0,0,1.94,2.44
403,2.548,0.947,1.051,1.0,0,1.66,3.588
404,2.647,1.286,1.278,0.0,0,1.602,4.508
405,3.196,1.38,1.234,0.0,0,1.321,6.018
406,3.378,1.38,1.25,0.0,0,1.654,4.854
407,2.396,1.593,1.351,0.0,0,3.32,6.023
410,3.353,0.405,1.418,1.0,1,1.878,5.018
413,3.591,0.58,1.685,0.0,1,1.851,4.117
418,2.862,1.54,1.226,0.0,0,3.896,6.171
419,2.183,0.93,0.846,0.0,0,1.395,4.739
420,2.74,1.04,1.603,0.0,1,2.646,4.215
421,3.001,0.651,0.781,0.0,0,4.203,5.262
422,3.378,1.38,1.25,0.0,0,1.654,5.933
423,3.55,1.182,1.624,0.0,0,2.433,4.811
425,3.587,0.675,2.108,0.0,0,2.527,3.656
426,2.893,1.236,0.907,0.0,0,3.842,6.047
427,3.898,0.887,1.45,0.0,0,4.066,5.999
431,1.965,1.028,0.762,0.0,0,2.116,5.303
432,2.819,0.732,1.483,0.0,0,1.717,2.941
433,2.019,1.317,0.77,0.0,0,3.617,5.93
434,1.822,0.681,0.794,0.0,0,2.335,3.696
436,2.479,0.887,0.954,0.0,0,1.748,4.119
437,3.793,0.134,0.93,0.0,0,4.054,6.038
438,3.38,1.749,1.276,0.0,1,3.305,4.951
439,4.181,0.57,1.383,0.0,0,4.379,6.213
440,2.297,0.762,0.798,0.0,0,2.841,3.555
441,2.206,1.3,1.36,0.0,0,2.371,4.739
442,3.407,1.548,1.653,0.0,0,1.145,6.258
443,1.844,1.275,0.804,0.0,0,3.109,6.784
444,2.216,0.389,0.796,0.0,0,1.953,3.751
445,4.372,0.134,1.254,0.0,0,5.339,6.569
449,2.11,0.773,0.773,0.0,1,2.57,3.36
451,3.629,0.223,0.802,0.0,0,3.571,4.269
452,2.309,0.907,0.871,0.0,0,3.046,3.782
453,3.316,0.223,1.571,1.0,0,1.795,3.854
456,3.749,0.331,1.278,0.0,0,2.773,4.777
458,3.098,0.93,1.075,0.0,0,2.702,5.65
459,3.734,0.223,1.374,0.0,0,3.661,5.159
460,3.073,1.493,1.279,0.0,0,3.737,6.645
461,3.249,2.071,1.327,0.0,0,3.948,6.446
464,2.375,1.026,1.09,0.0,1,2.553,3.895
465,1.634,0.713,1.19,0.0,0,1.313,2.056
466,2.309,0.762,0.845,1.0,0,1.091,3.601
467,3.219,0.811,1.127,0.0,0,2.604,4.257
469,2.24,0.405,1.203,0.0,0,-0.316,2.286
470,2.233,0.46,0.789,1.0,0,2.206,4.96
471,3.24,0.693,1.487,1.0,0,1.002,3.598
472,2.297,0.762,0.798,0.0,0,2.841,3.608
473,2.374,0.811,0.817,1.0,0,2.841,5.277
474,2.568,0.389,1.012,0.0,0,2.296,3.513
475,3.734,0.223,1.282,0.0,0,2.502,3.387
476,3.601,0.223,1.254,0.0,1,2.357,3.141
477,3.08,0.405,1.609,0.0,2,1.619,3.528
478,3.734,0.223,1.426,0.0,0,2.502,3.18
481,3.08,0.223,1.462,1.0,0,1.442,3.518
483,1.962,1.345,0.783,0.0,0,3.617,5.752
484,3.386,0.251,1.225,0.0,0,1.586,3.086
485,2.448,0.638,0.921,0.0,0,1.701,3.521
486,3.25,0.8019999999999999,0.95,0.0,0,3.259,3.926
487,2.824,0.223,1.051,0.0,0,1.801,3.168
488,3.134,0.223,1.193,0.0,0,1.548,2.692
490,2.309,0.762,1.118,0.0,2,-0.129,2.715
493,2.077,1.236,0.829,0.0,1,3.458,4.424
494,2.086,0.331,1.221,1.0,0,0.143,3.815
495,3.7,0.223,1.556,0.0,1,2.446,3.662
496,0.965,0.732,1.359,0.0,1,0.435,3.481
497,2.183,0.93,0.846,0.0,0,1.395,4.224
499,2.428,0.956,2.609,0.0,0,0.113,1.301
500,3.871,0.829,1.558,0.0,1,3.026,4.539
501,3.046,0.705,1.333,0.0,2,2.352,4.075
506,2.479,0.887,0.954,0.0,0,1.748,4.912
507,3.252,0.223,1.077,0.0,0,2.51,4.02
508,2.094,0.827,0.86,0.0,0,1.886,5.449
509,2.728,0.134,0.923,0.0,0,2.102,3.42
510,2.824,0.223,1.0,1.0,0,2.102,3.36
511,2.971,0.972,1.255,0.0,2,2.052,4.565
512,2.477,0.405,0.876,0.0,1,1.7,2.474
513,1.977,1.112,0.881,0.0,0,2.37,4.798
514,2.439,0.93,0.924,0.0,0,1.748,5.007
515,3.049,0.762,1.258,0.0,2,1.996,4.369
516,3.78,0.305,1.182,0.0,0,3.854,4.938
517,3.219,0.3912,1.151,0.0,0,2.604,3.397
518,2.495,0.56,0.835,0.0,1,1.643,1.969
519,3.026,0.405,1.787,0.0,1,1.373,2.551
520,2.875,0.582,2.311,0.0,0,1.587,3.075
521,2.126,0.83,0.899,0.0,0,3.478,4.263
523,3.669,0.486,1.374,0.0,0,3.291,4.61
524,3.609,0.811,1.208,0.0,0,3.291,4.469
525,2.33,0.932,0.931,0.0,1,2.529,4.559
526,2.542,0.429,1.891,0.0,0,0.562,2.12
527,2.456,0.331,0.875,0.0,1,1.294,2.263
528,3.18,1.281,1.246,0.0,0,2.492,4.963
530,2.719,0.891,2.292,0.0,0,1.94,3.289
531,3.023,0.56,1.168,0.0,1,1.75,3.379
532,2.251,0.638,0.871,1.0,0,1.61,4.021
534,2.08,0.891,0.816,0.0,0,2.729,4.41
535,2.876,0.928,1.372,0.0,1,1.737,6.148
536,2.251,0.638,0.871,1.0,0,1.61,4.175
537,4.139,0.496,1.43,0.0,1,4.206,5.767
538,2.122,1.621,1.511,0.0,0,2.64,5.677
540,3.067,1.286,1.309,0.0,0,2.223,5.318
541,2.125,0.73,1.537,0.0,0,0.883,3.007
542,3.452,0.331,1.098,0.0,1,2.54,3.742
543,2.479,0.887,0.954,0.0,0,1.748,5.341
545,2.802,0.223,1.6,0.0,1,1.064,1.999
546,3.609,0.811,1.208,0.0,0,3.291,4.247
547,3.198,0.405,1.399,0.0,0,1.897,3.874
548,2.888,0.251,1.771,0.0,0,1.398,2.983
554,2.366,0.405,1.735,0.0,0,-0.534,0.242
555,2.508,0.58,0.941,0.0,0,1.701,3.799
558,2.183,0.93,0.846,0.0,0,1.395,3.666
559,3.012,0.223,1.023,0.0,0,2.193,3.751
560,2.508,0.58,0.941,0.0,0,1.701,3.799
561,3.103,0.134,1.016,0.0,0,2.193,3.21
563,2.585,1.586,1.352,0.0,0,4.092,6.551
564,1.962,1.345,0.783,0.0,0,3.617,5.352
565,3.143,0.134,1.641,0.0,0,1.209,2.264
566,2.803,1.501,1.124,0.0,0,4.053,5.385
567,2.126,0.977,0.771,0.0,0,3.795,4.762
569,2.528,0.58,1.297,0.0,0,1.539,3.025
570,3.103,0.134,1.016,0.0,0,2.193,3.651
571,3.171,0.134,1.189,1.0,0,2.42,3.569
572,3.103,0.134,1.016,0.0,0,2.193,3.22
573,2.456,0.64,0.937,0.0,0,2.461,4.286
574,3.26,0.251,1.287,0.0,1,1.994,2.745
575,2.802,0.223,1.6,1.0,0,1.064,4.423
576,3.08,0.223,1.583,0.0,1,1.442,2.369
578,2.217,0.659,0.788,0.0,0,1.758,3.727
579,4.258,0.223,1.538,0.0,1,4.506,5.741
581,3.143,0.134,1.641,0.0,0,1.209,2.487
583,3.332,0.134,1.068,0.0,0,2.242,3.806
584,2.748,0.223,2.048,0.0,0,0.8,1.462
586,3.485,0.223,1.614,0.0,0,1.94,2.853
587,2.377,0.827,0.938,0.0,0,2.239,5.005
588,2.508,0.58,0.941,0.0,0,1.701,3.483
589,2.377,0.827,0.938,0.0,0,2.239,3.991
590,3.314,0.331,1.173,1.0,0,3.112,3.812
591,3.788,0.693,1.365,0.0,2,2.576,4.664
593,2.26,1.443,0.902,0.0,0,4.926,6.006
594,1.925,1.364,0.421,0.0,0,4.19,5.591
595,2.377,0.827,0.938,0.0,0,2.239,5.083
596,2.215,0.887,0.888,0.0,0,1.395,4.33
597,3.905,0.56,1.399,1.0,0,2.65,4.947
598,3.023,0.56,1.349,1.0,0,1.239,3.917
599,2.726,0.496,1.179,0.0,1,1.06,3.661
601,2.636,0.827,0.999,0.0,0,2.573,4.393
602,2.439,0.93,0.924,0.0,0,1.748,4.856
603,2.781,0.711,1.147,0.0,0,1.515,3.846
604,4.137,0.223,1.542,0.0,1,4.234,5.194
605,1.733,1.077,0.81,0.0,0,3.11,4.63
606,2.377,0.827,0.938,0.0,0,2.239,3.91
607,2.215,0.887,0.888,0.0,0,1.395,3.932
608,2.377,0.827,0.938,0.0,0,2.239,5.146
609,2.11,0.58,0.805,0.0,0,1.61,3.391
610,2.583,0.762,1.104,0.0,1,1.968,3.882
611,2.11,0.58,0.805,0.0,0,1.61,3.787
612,2.329,0.711,0.868,0.0,1,1.229,3.097
613,2.512,0.134,0.862,0.0,0,1.506,3.078
616,1.774,0.429,2.299,0.0,0,-0.41,1.897
617,3.052,0.638,0.903,0.0,0,3.237,4.906
619,3.554,0.629,0.945,0.0,0,3.315,3.459
620,2.726,0.496,1.179,0.0,1,1.06,2.126
621,2.983,0.496,2.106,0.0,0,-0.521,1.68
622,2.778,0.83,1.046,0.0,0,3.562,6.652
623,2.634,0.223,1.298,0.0,0,0.943,3.131
624,2.08,0.891,0.816,0.0,0,2.729,4.62
625,2.536,0.496,1.482,0.0,1,0.204,3.03
626,2.034,0.64,1.727,0.0,0,0.8,2.072
627,2.755,0.83,1.656,0.0,0,2.957,3.746
